Baseline 100%T,,TigE_30x_2ndbase,,TigE_60x_2ndbase1,,TigE_90x_2ndbase,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
612.0162964,0.003016798291,612.0162964,0.01170451101,612.0162964,0.008675216697,612.0162964,0.003485829802,
610.9831543,0.003068204271,610.9831543,0.01169626694,610.9831543,0.008639435284,610.9831543,0.003382977331,
609.9866333,0.003023288911,609.9866333,0.01182451565,609.9866333,0.008735854179,609.9866333,0.003475626931,
608.9899902,0.003047245089,608.9899902,0.01186492387,608.9899902,0.008726029657,608.9899902,0.003386290511,
607.992981,0.003031760687,607.992981,0.01209520642,607.992981,0.008764195256,607.992981,0.003548983252,
606.9957886,0.003029362531,606.9957886,0.01194338314,606.9957886,0.008755479008,606.9957886,0.003427173244,
605.9981689,0.002876375336,605.9981689,0.01229448058,605.9981689,0.008893113583,605.9981689,0.003542824183,
605.0003662,0.002968421904,605.0003662,0.01232688967,605.0003662,0.008843998425,605.0003662,0.003444785019,
604.0023804,0.002835361985,604.0023804,0.01237410959,604.0023804,0.008927118964,604.0023804,0.003635455854,
603.0039673,0.00262756669,603.0039673,0.01259307005,603.0039673,0.009234560654,603.0039673,0.003697952256,
602.0053711,0.002744073048,602.0053711,0.01241323631,602.0053711,0.009002749808,602.0053711,0.003575917566,
601.0065308,0.002524370328,601.0065308,0.01270631049,601.0065308,0.009131156839,601.0065308,0.003653180553,
600.0074463,0.002356881509,600.0074463,0.01275202539,600.0074463,0.009030818008,600.0074463,0.003694767132,
599.0079956,0.002332182601,599.0079956,0.01282099355,599.0079956,0.009008008987,599.0079956,0.003620655276,
598.0084229,0.002066337038,598.0084229,0.01320877206,598.0084229,0.009161559865,598.0084229,0.00372604467,
597.0085449,0.002038429724,597.0085449,0.0132040754,597.0085449,0.009074851871,597.0085449,0.00365547766,
596.0083008,0.002057233825,596.0083008,0.0130438609,596.0083008,0.009160025977,596.0083008,0.003662369447,
595.0078735,0.001841621706,595.0078735,0.01331125572,595.0078735,0.009338755161,595.0078735,0.00381129887,
594.0072021,0.001741054934,594.0072021,0.01324928273,594.0072021,0.009285650216,594.0072021,0.003886644728,
593.0062866,0.001478116261,593.0062866,0.01348689571,593.0062866,0.009441018105,593.0062866,0.003818532685,
592.0050049,0.00129080459,592.0050049,0.01379346848,592.0050049,0.009353566915,592.0050049,0.003896987997,
591.0036011,0.001260247198,591.0036011,0.01366129797,591.0036011,0.009293451905,591.0036011,0.003723694943,
590.0018311,0.0008819497307,590.0018311,0.01395561732,590.0018311,0.009604222141,590.0018311,0.003901585005,
588.9998779,0.0009996750159,588.9998779,0.01383764111,588.9998779,0.00931915734,588.9998779,0.003718473017,
587.9976196,0.0007278240519,587.9976196,0.01405228768,587.9976196,0.009406205267,587.9976196,0.003855407936,
586.9950562,0.0004070404393,586.9950562,0.01423981041,586.9950562,0.009471494704,586.9950562,0.003907461651,
585.9923706,0.0002380608348,585.9923706,0.01447686926,585.9923706,0.00966056902,585.9923706,0.004037689418,
584.9892578,0.0001642257412,584.9892578,0.01440956444,584.9892578,0.009712900035,584.9892578,0.003941053525,
583.9860229,2.40740178E-006,583.9860229,0.0143242646,583.9860229,0.009636458009,583.9860229,0.003948498052,
582.9824829,-0.0002918438695,582.9824829,0.01461416017,582.9824829,0.009514780715,582.9824829,0.004117908888,
582.0159302,-0.0004703004088,582.0159302,0.01472734008,582.0159302,0.009718141519,582.0159302,0.004214897752,
581.0118408,-0.0007203781861,581.0118408,0.01483953092,581.0118408,0.009730265476,581.0118408,0.00422067428,
580.0075684,-0.0009516637074,580.0075684,0.01489275694,580.0075684,0.009844033048,580.0075684,0.004244356882,
579.0029907,-0.001189641422,579.0029907,0.01509565115,579.0029907,0.009712529369,579.0029907,0.004174071364,
577.99823,-0.001394100953,577.99823,0.01529274136,577.99823,0.009745355695,577.99823,0.004165917169,
576.9931641,-0.001587580424,576.9931641,0.01534444094,576.9931641,0.009841491468,576.9931641,0.004284326918,
575.987854,-0.001789274742,575.987854,0.01535549015,575.987854,0.00980105903,575.987854,0.004220282193,
574.9822998,-0.001998451073,574.9822998,0.01548337471,574.9822998,0.009940905496,574.9822998,0.004161682911,
574.0137329,-0.002172911074,574.0137329,0.01559560001,574.0137329,0.009903986938,574.0137329,0.004151385743,
573.0076904,-0.002503193449,573.0076904,0.01564765908,573.0076904,0.009911878966,573.0076904,0.004150471184,
572.0014038,-0.002844797447,572.0014038,0.01575640962,572.0014038,0.01002254151,572.0014038,0.004258289468,
570.994812,-0.003147483338,570.994812,0.0159836635,570.994812,0.01000230294,570.994812,0.004338811617,
569.9880371,-0.003377788467,569.9880371,0.01610176638,569.9880371,0.01011619437,569.9880371,0.004318365827,
569.0183105,-0.003739801934,569.0183105,0.0163415391,569.0183105,0.01031443011,569.0183105,0.004527887329,
568.0110474,-0.003968408331,568.0110474,0.01639016345,568.0110474,0.01017788146,568.0110474,0.004273687024,
567.003418,-0.004355404526,567.003418,0.01656051911,567.003418,0.01022688206,567.003418,0.004530973732,
565.9956055,-0.004610939883,565.9956055,0.01670586877,565.9956055,0.01029454917,565.9956055,0.004437078722,
564.9876709,-0.004918028601,564.9876709,0.01656904444,564.9876709,0.01024938375,564.9876709,0.004463179037,
564.0167236,-0.005258864257,564.0167236,0.01679357514,564.0167236,0.01042450592,564.0167236,0.004612932913,
563.0081177,-0.005634339061,563.0081177,0.01697334833,563.0081177,0.01051951852,563.0081177,0.004602154251,
561.9993896,-0.005889940076,561.9993896,0.01709446684,561.9993896,0.01046534069,561.9993896,0.004624418449,
560.9903564,-0.006113027222,560.9903564,0.01718163304,560.9903564,0.01040382404,560.9903564,0.004572958685,
560.0184937,-0.006510001607,560.0184937,0.01739193127,560.0184937,0.0105896974,560.0184937,0.004690458998,
559.0089722,-0.00673292391,559.0089722,0.01744754612,559.0089722,0.01059354376,559.0089722,0.004490484018,
557.9992065,-0.007122507785,557.9992065,0.01753879897,557.9992065,0.01061574649,557.9992065,0.004730915185,
556.9891968,-0.007348220795,556.9891968,0.01771648042,556.9891968,0.01066784747,556.9891968,0.004701030441,
556.0164185,-0.007435307838,556.0164185,0.01773492433,556.0164185,0.0105830403,556.0164185,0.004626772832,
555.0059204,-0.007763342466,555.0059204,0.01800182462,555.0059204,0.01068164315,555.0059204,0.004794249777,
553.9952393,-0.008012459613,553.9952393,0.0179781355,553.9952393,0.01080221403,553.9952393,0.004894374404,
552.9842529,-0.008098142222,552.9842529,0.01811221987,552.9842529,0.01070273481,552.9842529,0.004779645242,
552.010498,-0.008236948401,552.010498,0.01833136752,552.010498,0.01095682476,552.010498,0.004900264554,
550.9990234,-0.008343918249,550.9990234,0.01834802702,550.9990234,0.01081131678,550.9990234,0.004812152591,
549.9874268,-0.008435274474,549.9874268,0.01849027537,549.9874268,0.01094312686,549.9874268,0.004958806559,
