Baseline 100%T,,TigE 200,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
417.0024414,0.001991072204,417.0024414,0.3627054095,
416.0015564,0.001776090823,416.0015564,0.364975661,
415.0005493,0.001426015049,415.0005493,0.3673063517,
413.9992676,0.001276525203,413.9992676,0.369376868,
412.9979248,0.001092284801,412.9979248,0.3710599542,
411.9963074,0.0007660196861,411.9963074,0.3729031086,
410.9945984,0.0004730906803,410.9945984,0.374968797,
409.9927063,0.0002705926599,409.9927063,0.3765681684,
408.9906616,1.351268565E-005,408.9906616,0.3780827224,
407.9883728,-0.0001723145833,407.9883728,0.3795763552,
406.9859924,-0.0004085989494,406.9859924,0.3807287216,
405.9834595,-0.0004806434445,405.9834595,0.3817481399,
405.0192871,-0.0007675134111,405.0192871,0.3831085861,
404.016449,-0.0008280787733,404.016449,0.3841111064,
403.0133972,-0.0008568598423,403.0133972,0.3849702775,
402.0101624,-0.0008243065677,402.0101624,0.3856027722,
401.0067749,-0.0008454406052,401.0067749,0.3864717185,
400.0032349,-0.0007474091835,400.0032349,0.38707605,
398.9995422,-0.0007440497866,398.9995422,0.3877682984,
397.9956665,-0.0005721687921,397.9956665,0.3881443441,
396.9916687,-0.0004114954208,396.9916687,0.3885828257,
395.9874878,-0.0002703724313,395.9874878,0.3888134658,
394.9831238,-0.0001205083463,394.9831238,0.3895992935,
394.0172424,9.573686111E-005,394.0172424,0.3896597922,
393.0126343,0.0004677782999,393.0126343,0.3896542788,
392.007782,0.0005349781713,392.007782,0.3904845715,
391.0028076,0.000830101606,391.0028076,0.3908108175,
389.9976807,0.001200644416,389.9976807,0.3907948732,
388.9923706,0.001572698704,388.9923706,0.3907952905,
387.986908,0.001861665049,387.986908,0.3910588622,
386.9813232,0.002178191906,386.9813232,0.3913400173,
386.0142212,0.002628921065,386.0142212,0.3912978172,
385.0082703,0.003135990351,385.0082703,0.3913387954,
384.0021973,0.003574116854,384.0021973,0.3916133046,
382.9959717,0.004089399241,382.9959717,0.3913436234,
381.989563,0.004728742875,381.989563,0.3912898898,
380.9830627,0.00531931594,380.9830627,0.3913026154,
380.0150452,0.005942707881,380.0150452,0.3911463618,
379.0082092,0.006865616888,379.0082092,0.3905360699,
378.0011902,0.007371999323,378.0011902,0.3908443451,
376.9940186,0.007979363203,376.9940186,0.3906807601,
375.9867249,0.008519620635,375.9867249,0.3899816871,
375.0180359,0.009067371488,375.0180359,0.3897050917,
374.0104065,0.009684761986,374.0104065,0.389546901,
373.002655,0.01042498276,373.002655,0.3888429701,
371.994751,0.01097522303,371.994751,0.3886050582,
370.9866638,0.01155439205,370.9866638,0.3884102702,
370.0172119,0.01195985358,370.0172119,0.3880662918,
369.0088806,0.01261508185,369.0088806,0.3873691261,
368.0003357,0.01306349505,368.0003357,0.3867003322,
366.9916992,0.01344241202,366.9916992,0.3865389228,
365.9828796,0.01406669989,365.9828796,0.3859484494,
365.0127563,0.01434601564,365.0127563,0.3856804073,
364.0036316,0.01466693077,364.0036316,0.3850729465,
362.9944153,0.0152288489,362.9944153,0.3841099441,
361.9850159,0.01525139622,361.9850159,0.3848210275,
361.0142822,0.01551650558,361.0142822,0.3844162524,
360.0046082,0.01591177471,360.0046082,0.3840619624,
358.994751,0.01605900191,358.994751,0.3835513294,
357.9848328,0.01622527651,357.9848328,0.3841449916,
357.0135498,0.01646000892,357.0135498,0.3838745654,
356.0032654,0.01662783511,356.0032654,0.3839851916,
354.9928894,0.01675523445,354.9928894,0.3843849301,
353.9823303,0.01690317877,353.9823303,0.3841520846,
353.010498,0.017017629,353.010498,0.3844416142,
351.9996643,0.01723135076,351.9996643,0.3850592673,
350.988678,0.01732323132,350.988678,0.3857046664,
350.0164795,0.01747460291,350.0164795,0.3864292502,
349.0052185,0.0177099295,349.0052185,0.3876367807,
347.9938354,0.01788212359,347.9938354,0.3886260688,
346.9822693,0.0180614572,346.9822693,0.3900178075,
346.009491,0.01801984943,346.009491,0.3914063573,
344.9976807,0.01825781912,344.9976807,0.3927507102,
343.9857483,0.01821457222,343.9857483,0.3946725726,
343.0125732,0.01832518354,343.0125732,0.3963445723,
342.0003662,0.01857529022,342.0003662,0.398609221,
340.9879761,0.01861300878,340.9879761,0.4006855786,
340.0144348,0.01880637556,340.0144348,0.4029131234,
339.00177,0.01887990721,339.00177,0.4054909647,
337.9890137,0.01910106465,337.9890137,0.4084126055,
337.0150452,0.01923766173,337.0150452,0.4114160836,
336.0019836,0.01955070533,336.0019836,0.4144448042,
334.9888,0.01974142902,334.9888,0.4176077545,
334.0144653,0.0200867448,334.0144653,0.4209669232,
333.0010376,0.02027268708,333.0010376,0.4248081148,
331.9874573,0.02075666748,331.9874573,0.428460151,
331.0126953,0.0211079549,331.0126953,0.4321048856,
329.9988708,0.02165688761,329.9988708,0.4360250235,
328.9848938,0.02229304984,328.9848938,0.4400738776,
328.0097961,0.02301999182,328.0097961,0.4439687729,
326.9955139,0.02359321155,326.9955139,0.4489049315,
325.9811401,0.02452206798,325.9811401,0.4531702697,
325.0056458,0.0254014805,325.0056458,0.4572524428,
323.9910278,0.02631977759,323.9910278,0.4619806111,
323.0153198,0.02750039101,323.0153198,0.4663926065,
322.0003967,0.02863591537,322.0003967,0.4714791179,
320.9853821,0.02986000478,320.9853821,0.4755548239,
320.0092468,0.03114261478,320.0092468,0.4797372818,
318.9939575,0.03257364407,318.9939575,0.4836879671,
318.0176392,0.03403093293,318.0176392,0.4878213704,
317.0021057,0.03562983871,317.0021057,0.4921156466,
315.9864502,0.03738282993,315.9864502,0.4958843887,
315.0096741,0.03862891719,315.0096741,0.4998944104,
313.9938049,0.04043484852,313.9938049,0.5034808517,
313.0168457,0.04252984002,313.0168457,0.5073161721,
312.0006714,0.04441552237,312.0006714,0.5113103986,
310.9843445,0.04622974619,310.9843445,0.5149115324,
310.007019,0.04812942818,310.007019,0.5184472799,
308.990509,0.04998485371,308.990509,0.5223210454,
308.0129395,0.05163486674,308.0129395,0.5255471468,
306.9961548,0.05367504433,306.9961548,0.5298593044,
306.0183411,0.05582842603,306.0183411,0.533729136,
305.0013428,0.05772884935,305.0013428,0.5378671885,
303.9841614,0.0597156398,303.9841614,0.5431292653,
303.0060425,0.06156013161,303.0060425,0.5488721728,
301.9886475,0.06364329904,301.9886475,0.5552523136,
